date,cloud_cover,sunshine,global_radiation,max_temp,mean_temp,min_temp,precipitation,pressure,snow_depth
2020-04-05,2.0,10.2,241.0,21.7,13.8,6.0,0.4,101450.0,
2020-04-06,2.0,12.7,274.0,18.4,14.5,10.6,0.2,101560.0,
2020-04-07,5.0,5.0,189.0,20.1,12.3,4.6,0.0,102830.0,
2020-04-08,4.0,10.1,232.0,22.0,15.9,9.9,0.0,102490.0,
2020-04-09,3.0,4.4,185.0,23.2,15.9,8.6,0.0,102450.0,
2020-04-10,4.0,12.4,264.0,24.2,16.4,8.7,0.0,102480.0,
2020-04-11,6.0,13.1,268.0,25.1,17.1,9.1,0.0,102240.0,
2020-04-12,6.0,10.4,248.0,24.9,17.2,9.6,0.0,101490.0,
2020-04-13,3.0,11.0,241.0,11.9,10.0,8.2,0.0,102390.0,
2020-04-14,1.0,9.9,253.0,13.5,8.3,3.2,0.0,102870.0,
2020-04-15,4.0,14.5,305.0,19.1,10.8,2.6,0.0,102310.0,
2020-04-16,7.0,13.6,289.0,19.6,12.1,4.6,0.0,101630.0,
2020-04-17,7.0,6.4,187.0,14.7,11.9,9.1,16.0,101660.0,
2020-04-18,7.0,2.3,121.0,16.1,11.3,6.5,1.0,101750.0,
2020-04-19,0.0,5.1,190.0,18.6,12.4,6.2,0.0,102010.0,
2020-04-20,0.0,12.5,307.0,18.6,12.1,5.6,0.0,101790.0,
2020-04-21,2.0,14.7,320.0,18.9,13.5,8.2,0.0,101640.0,
2020-04-22,2.0,14.9,324.0,21.5,14.3,7.1,0.0,101900.0,
2020-04-23,4.0,14.2,316.0,24.1,15.3,6.6,0.0,101950.0,
2020-04-24,1.0,13.6,311.0,22.0,14.9,7.9,0.0,101610.0,
2020-04-25,0.0,14.3,312.0,16.9,11.9,6.9,0.0,101530.0,
2020-04-26,1.0,12.1,316.0,20.6,12.4,4.2,0.0,101240.0,
2020-04-27,6.0,14.0,309.0,18.6,12.8,7.1,3.0,100780.0,
2020-04-28,8.0,3.0,180.0,8.6,8.5,8.5,11.0,100480.0,
2020-04-29,7.0,0.0,51.0,14.2,10.7,7.2,1.6,100220.0,
2020-04-30,6.0,2.3,161.0,14.2,10.2,6.2,4.2,99510.0,
2020-05-01,6.0,4.2,172.0,15.6,11.5,7.5,0.2,99850.0,
2020-05-02,2.0,7.9,259.0,17.6,11.6,5.7,0.0,100960.0,
2020-05-03,8.0,12.0,311.0,15.2,11.9,8.6,0.2,101550.0,
2020-05-04,6.0,1.0,142.0,17.9,13.8,9.7,0.0,101870.0,
2020-05-05,1.0,9.3,270.0,15.5,11.7,8.0,,102090.0,
2020-05-06,0.0,2.4,356.0,15.9,,,8.3,102510.0,
2020-05-07,4.0,15.3,358.0,23.1,14.5,6.0,0.0,102310.0,
2020-05-08,5.0,14.6,335.0,24.2,17.1,10.1,0.0,101820.0,
2020-05-09,6.0,13.1,327.0,25.0,17.8,10.6,0.0,101300.0,
2020-05-10,8.0,12.5,320.0,18.1,14.8,11.6,0.0,101010.0,
2020-05-11,5.0,3.9,170.0,12.6,8.6,4.7,0.0,101910.0,
2020-05-12,5.0,7.7,278.0,16.2,9.3,2.4,0.0,102130.0,
2020-05-13,4.0,8.7,293.0,13.4,9.7,6.1,0.0,101710.0,
2020-05-14,1.0,5.6,262.0,14.7,8.9,3.1,0.0,102260.0,
2020-05-15,3.0,13.1,344.0,19.6,11.3,3.1,0.0,102380.0,
2020-05-16,5.0,11.7,311.0,19.1,13.3,7.6,0.0,102440.0,
2020-05-17,7.0,7.7,278.0,21.1,14.4,7.7,0.0,102380.0,
2020-05-18,6.0,9.7,305.0,24.0,17.1,10.2,0.0,102360.0,
2020-05-19,2.0,13.1,362.0,26.1,18.8,11.6,0.0,102330.0,
2020-05-20,5.0,13.8,364.0,27.9,20.5,13.1,0.0,102140.0,
2020-05-21,5.0,16.0,380.0,27.5,20.3,13.1,0.0,101920.0,
2020-05-22,2.0,13.3,354.0,23.2,20.0,16.9,0.0,101480.0,
2020-05-23,3.0,8.8,304.0,20.0,15.6,11.2,2.0,102170.0,
2020-05-24,3.0,11.0,320.0,22.6,16.5,10.5,0.0,102970.0,
2020-05-25,2.0,8.5,305.0,26.1,18.1,10.1,0.0,103420.0,
2020-05-26,7.0,15.2,386.0,26.6,19.1,11.6,0.0,103520.0,
2020-05-27,6.0,13.0,343.0,26.4,20.0,13.7,0.0,103510.0,
2020-05-28,2.0,11.2,340.0,22.6,17.1,11.6,0.0,103420.0,
2020-05-29,1.0,15.4,395.0,24.4,17.7,11.1,0.0,102810.0,
2020-05-30,0.0,15.7,397.0,25.7,17.8,10.0,0.0,102330.0,
2020-05-31,0.0,15.3,398.0,25.4,18.9,12.5,0.0,102240.0,
2020-06-01,1.0,15.7,399.0,26.9,19.1,11.4,0.0,102250.0,
2020-06-02,4.0,15.6,394.0,25.5,18.9,12.4,0.0,101950.0,
2020-06-03,8.0,13.1,348.0,19.2,16.4,13.6,0.4,100920.0,
2020-06-04,7.0,0.3,121.0,16.6,13.6,10.6,,100410.0,
2020-06-05,4.0,1.2,194.0,16.5,,,1.0,99710.0,
2020-06-06,7.0,5.4,234.0,14.6,10.9,7.2,10.0,99900.0,
2020-06-07,7.0,3.4,189.0,18.7,13.4,8.1,2.0,100810.0,
2020-06-08,4.0,4.6,212.0,16.6,13.5,10.5,0.0,101820.0,
2020-06-09,7.0,2.5,229.0,20.1,15.3,10.6,0.0,102020-.0,
2020-06-10,8.0,4.5,249.0,16.5,14.6,12.7,5.0,101570.0,
2020-06-11,7.0,0.5,108.0,21.5,16.2,11.0,0.8,101170.0,
2020-06-12,7.0,1.7,156.0,21.5,17.6,13.7,2.0,100590.0,
2020-06-13,4.0,3.1,192.0,25.1,18.7,12.4,2.0,100770.0,
2020-06-14,6.0,8.4,302.0,23.0,18.0,13.0,0.0,101360.0,
2020-06-15,5.0,8.8,305.0,25.4,18.5,11.6,1.0,101610.0,
2020-06-16,4.0,8.6,299.0,25.0,19.3,13.6,0.2,101440.0,
2020-06-17,7.0,8.9,273.0,22.6,17.7,12.9,11.0,101210.0,
2020-06-18,5.0,0.9,164.0,19.1,16.5,13.9,9.8,101040.0,
2020-06-19,7.0,2.8,149.0,20.9,17.2,13.5,0.4,101360.0,
2020-06-20,4.0,2.1,191.0,23.1,17.5,11.9,0.6,101930.0,
2020-06-21,4.0,7.0,280.0,24.0,19.0,14.1,0.6,101650.0,
2020-06-22,3.0,7.7,292.0,24.0,17.2,10.4,0.0,102440.0,
2020-06-23,1.0,15.9,402.0,28.6,20.2,11.9,0.0,102370.0,
2020-06-24,0.0,15.7,388.0,32.6,24.6,16.7,0.0,102020-.0,
2020-06-25,1.0,15.7,389.0,33.5,25.9,18.4,0.0,101560.0,
2020-06-26,4.0,15.2,380.0,31.1,25.3,19.5,3.0,100920.0,
2020-06-27,5.0,11.6,321.0,21.5,18.4,15.4,0.8,100510.0,
2020-06-28,5.0,2.6,198.0,22.1,17.2,12.4,1.8,100890.0,
2020-06-29,5.0,7.2,283.0,21.7,16.9,12.2,0.0,100980.0,
2020-06-30,7.0,1.9,211.0,19.6,16.2,12.9,0.6,100760.0,
2020-07-01,6.0,0.2,147.0,22.6,18.4,14.2,2.0,100540.0,
2020-07-02,5.0,3.5,211.0,22.6,17.3,12.0,2.0,101060.0,
2020-07-03,7.0,5.8,253.0,22.6,17.3,12.1,3.0,101590.0,
2020-07-04,8.0,5.0,258.0,21.5,18.0,14.6,0.0,101120.0,
2020-07-05,3.0,1.5,153.0,23.1,20.0,16.9,0.0,101050.0,
2020-07-06,4.0,9.7,342.0,20.2,15.8,11.5,0.0,101840.0,
2020-07-07,7.0,4.1,222.0,22.6,17.0,11.4,8.0,102080.0,
2020-07-08,8.0,3.8,200.0,20.5,16.8,13.2,2.8,101500.0,
2020-07-09,7.0,0.1,129.0,20.6,18.1,15.7,2.8,101190.0,
2020-07-10,6.0,0.4,122.0,19.7,16.0,12.4,0.0,101960.0,
2020-07-11,4.0,6.0,279.0,21.6,15.1,8.7,0.0,102700.0,
2020-07-12,7.0,11.0,320.0,25.2,17.6,10.0,0.0,102750.0,
2020-07-13,7.0,13.8,366.0,26.2,19.4,12.7,1.0,102370.0,
2020-07-14,7.0,7.0,290.0,23.1,19.1,15.2,0.0,101670.0,
2020-07-15,8.0,1.5,196.0,19.5,16.5,13.6,0.0,101600.0,
2020-07-16,6.0,1.0,133.0,,,16.1,,102030.0,
2020-07-17,2.0,3.8,220.0,28.6,22.8,17.0,0.0,102060.0,
2020-07-18,5.0,11.8,351.0,26.4,20.7,15.1,0.2,101850.0,
2020-07-19,6.0,7.6,307.0,21.5,18.7,15.9,0.6,101760.0,
2020-07-20,1.0,3.5,198.0,22.6,16.6,10.6,0.0,102260.0,
2020-07-21,3.0,14.7,377.0,22.7,16.4,10.2,0.0,102600.0,
2020-07-22,4.0,13.0,360.0,26.4,20.0,13.6,0.0,102360.0,
2020-07-23,7.0,10.6,325.0,26.6,20.0,13.4,0.0,101680.0,
2020-07-24,7.0,4.0,245.0,25.6,20.8,16.1,0.0,101250.0,
2020-07-25,7.0,1.1,180.0,23.1,20.3,17.5,8.0,100800.0,
2020-07-26,6.0,0.7,129.0,23.7,18.1,12.6,2.4,100980.0,
2020-07-27,7.0,3.3,196.0,21.6,18.6,15.6,2.4,100810.0,
2020-07-28,3.0,1.0,128.0,21.6,17.0,12.5,0.0,101310.0,
2020-07-29,6.0,7.8,256.0,24.6,17.1,9.6,0.0,101990.0,
2020-07-30,1.0,12.1,337.0,29.7,21.3,13.0,0.0,101840.0,
2020-07-31,0.0,14.8,351.0,37.9,27.2,16.6,0.0,101130.0,
2020-08-01,4.0,10.6,305.0,27.7,21.7,15.7,0.0,101460.0,
2020-08-02,3.0,10.4,299.0,25.5,18.5,11.6,0.0,101640.0,
2020-08-03,2.0,9.9,303.0,23.6,18.7,13.9,0.0,101560.0,
2020-08-04,3.0,10.0,289.0,25.0,18.0,11.1,0.0,101630.0,
2020-08-05,6.0,9.4,275.0,26.9,21.2,15.6,0.0,101280.0,
2020-08-06,7.0,6.8,270.0,29.7,23.9,18.2,0.0,101640.0,
2020-08-07,2.0,6.2,232.0,36.5,26.2,16.0,0.0,101780.0,
2020-08-08,7.0,9.9,278.0,33.5,27.1,20.7,0.0,101870.0,
2020-08-09,3.0,7.3,256.0,33.9,25.6,17.4,0.0,101800.0,
2020-08-10,3.0,10.9,290.0,,,18.7,0.0,101370.0,
2020-08-11,1.0,12.8,297.0,35.7,28.4,21.2,0.0,101400.0,
2020-08-12,3.0,10.1,267.0,35.5,28.6,21.7,0.4,101290.0,
